,V1_Dir,V1_Action,V1_Lane_Nu,V1_Driver1,V1_Vehicle,V2_Driver1,V2_Dir,V2_Action,V2_Lane_Nu,V2_Driver_,Total_Vehi,Fatalities,Injury_Typ,Injured,Property_D,Crash_Type,Pedalcycli,Pedestrian,Motorcycli,V1_Type
V1_Dir,1.0,0.08399289730739058,-0.10550685106200305,0.10674873188499841,0.04454285651123446,0.023604424910252955,0.33057927964187755,0.038098465040663144,-0.146917066029178,-0.0707178256977488,-0.020685113648193316,0.1388276607012783,-0.028080905374057368,0.060271207395885394,0.05497370389228491,-0.0003439290939993311,0.03296780798435777,0.06404790804598415,0.013905268981020315,0.000673407649912482
V1_Action,0.08399289730739058,0.9999999999999961,-0.13755703676740116,0.006314722336515919,-0.07486743762019249,0.02974489976806985,0.06524536201905792,-0.08153912895925235,-0.1311119191159051,-0.07032088192597231,-0.0710145689836443,0.05730132719962697,0.07010938530669245,-0.05453587787551002,-0.05915237947246903,0.2558257811875011,0.020279286334279455,0.010333207549043544,0.024397359901611324,0.00922401966941414
V1_Lane_Nu,-0.10550685106200305,-0.13755703676740116,1.0,0.0017290453360603404,0.07202403358318381,-0.12604222051888964,-0.18616267527334168,-0.154281847511326,0.8352861467237809,0.2950140576150639,0.006702257224811202,-0.05947340669384846,-0.0695812572851887,0.026075649588878827,0.03517806303074544,-0.04371256509235412,-0.019595384200812953,0.0025487232480443183,0.01847757557908692,0.04146770166333448
V1_Driver1,0.10674873188499841,0.006314722336515919,0.0017290453360603404,1.0,0.27039471332126525,0.20105918550281326,0.1511244117754169,0.15254911908693447,-0.018028293970298898,-0.076358237932031,0.09565478227328934,-0.08971828044117108,0.07237282242777564,-0.06744472627685204,-0.05592383760257198,0.12086792770536708,-0.01464935471840416,0.010905927539988175,-0.007244845077256002,0.08117877707854707
V1_Vehicle,0.04454285651123446,-0.07486743762019249,0.07202403358318381,0.27039471332126525,1.0,0.17600210154160617,0.10975591470117835,0.22658561359731902,0.011722400096675984,-0.09799420312250993,0.09970394694678945,-0.18952928595688903,0.1075446262972043,-0.12430118059702726,-0.11076070106565783,0.18367436389655967,0.031362138770675785,0.02449146215615068,0.009125198561598071,0.08114994762692197
V2_Driver1,0.023604424910252955,0.02974489976806985,-0.12604222051888964,0.20105918550281326,0.17600210154160617,0.9999999999999669,0.7516753508027205,0.711246280274731,-0.3386760689645274,-0.7302563998883183,0.5426366816654101,-0.4004466234007739,0.14861018696236147,-0.1447253438573989,-0.08438296735481363,0.43061788898611686,0.17665693775521674,0.2419043778239673,0.028876018781781636,0.013926952042211935
V2_Dir,0.33057927964187755,0.06524536201905792,-0.18616267527334168,0.1511244117754169,0.10975591470117835,0.7516753508027205,1.0,0.619158679727882,-0.39894844055981626,-0.6507066909621096,0.46502610382074894,-0.24162913501552863,0.08877318514194414,-0.0635651445486597,-0.0205488645124085,0.35353125988109085,0.15640859759455134,0.2139260062764192,0.023494252387535892,-0.005018732268451644
V2_Action,0.038098465040663144,-0.08153912895925235,-0.154281847511326,0.15254911908693447,0.22658561359731902,0.711246280274731,0.619158679727882,1.0,-0.33838213574783005,-0.5702998203833144,0.45650549079721797,-0.3231989418878168,0.12393362351947923,-0.1369607203912557,-0.08435945227665563,0.31291415231769426,0.1478840713227176,0.19938420644570815,0.0021832784301751354,0.01872739925395785
V2_Lane_Nu,-0.146917066029178,-0.1311119191159051,0.8352861467237809,-0.018028293970298898,0.011722400096675984,-0.3386760689645274,-0.39894844055981626,-0.33838213574783005,0.9999999999999938,0.4788640019365994,-0.15237174516776106,0.0413590790571978,-0.08811878964342021,0.03503196386749891,0.02673807942517413,-0.14878768365352782,-0.08393601834264193,-0.10565588472386256,-0.005992797937967429,0.03908103379332723
V2_Driver_,-0.0707178256977488,-0.07032088192597231,0.2950140576150639,-0.076358237932031,-0.09799420312250993,-0.7302563998883183,-0.6507066909621096,-0.5702998203833144,0.4788640019365994,1.0,-0.4146373971434132,0.3558998693204672,-0.2890174683751656,0.28859779908253164,0.2523647705529372,-0.3673401887737103,-0.14355033590517388,-0.19509695042558658,0.000676816533281503,0.030618581769871242
Total_Vehi,-0.020685113648193316,-0.0710145689836443,0.006702257224811202,0.09565478227328934,0.09970394694678945,0.5426366816654101,0.46502610382074894,0.45650549079721797,-0.15237174516776106,-0.4146373971434132,1.0,-0.20723098969241277,-0.005243579787524759,0.05922377089407142,0.06691688562317957,0.24957414385976093,0.13614951112908258,0.1846536273786449,0.005185897115630568,0.01735211965349116
Fatalities,0.1388276607012783,0.05730132719962697,-0.05947340669384846,-0.08971828044117108,-0.18952928595688903,-0.4004466234007739,-0.24162913501552863,-0.3231989418878168,0.0413590790571978,0.3558998693204672,-0.20723098969241277,1.0,-0.19761047820317348,0.2272806322081666,0.18793947185879906,-0.32476590660940885,-0.05610670663567566,-0.11106879400248217,-0.040599408400248636,0.02515438505762357
Injury_Typ,-0.028080905374057368,0.07010938530669245,-0.0695812572851887,0.07237282242777564,0.1075446262972043,0.14861018696236147,0.08877318514194414,0.12393362351947923,-0.08811878964342021,-0.2890174683751656,-0.005243579787524759,-0.19761047820317348,1.0,-0.7710483182267771,-0.8658310958823283,0.1941432145509219,-0.040467038488130956,-0.03239741565069302,-0.00402513802973147,0.0262173939408819
Injured,0.060271207395885394,-0.05453587787551002,0.026075649588878827,-0.06744472627685204,-0.12430118059702726,-0.1447253438573989,-0.0635651445486597,-0.1369607203912557,0.03503196386749891,0.28859779908253164,0.05922377089407142,0.2272806322081666,-0.7710483182267771,0.9999999999999825,0.9038547462454387,-0.19624866861964,0.04590430797972045,0.07115288542831474,0.05820870594974292,-0.0349745545815471
Property_D,0.05497370389228491,-0.05915237947246903,0.03517806303074544,-0.05592383760257198,-0.11076070106565783,-0.08438296735481363,-0.0205488645124085,-0.08435945227665563,0.02673807942517413,0.2523647705529372,0.06691688562317957,0.18793947185879906,-0.8658310958823283,0.9038547462454387,1.0,-0.1701281432896901,0.08973198813445207,0.13244010751740382,0.10696115715424101,-0.02061053520381838
Crash_Type,-0.0003439290939993311,0.2558257811875011,-0.04371256509235412,0.12086792770536708,0.18367436389655967,0.43061788898611686,0.35353125988109085,0.31291415231769426,-0.14878768365352782,-0.3673401887737103,0.24957414385976093,-0.32476590660940885,0.1941432145509219,-0.19624866861964,-0.1701281432896901,0.9999999999999678,0.05102909085272362,0.12392453601360381,0.026155274444530204,0.05104340909008778
Pedalcycli,0.03296780798435777,0.020279286334279455,-0.019595384200812953,-0.01464935471840416,0.031362138770675785,0.17665693775521674,0.15640859759455134,0.1478840713227176,-0.08393601834264193,-0.14355033590517388,0.13614951112908258,-0.05610670663567566,-0.040467038488130956,0.04590430797972045,0.08973198813445207,0.05102909085272362,0.9999999999999283,-0.006849162210159415,-0.013541204414073391,0.0015105220131891193
Pedestrian,0.06404790804598415,0.010333207549043544,0.0025487232480443183,0.010905927539988175,0.02449146215615068,0.2419043778239673,0.2139260062764192,0.19938420644570815,-0.10565588472386256,-0.19509695042558658,0.1846536273786449,-0.11106879400248217,-0.03239741565069302,0.07115288542831474,0.13244010751740382,0.12392453601360381,-0.006849162210159415,1.0,-0.019707822247311695,0.015987122617076847
Motorcycli,0.013905268981020315,0.024397359901611324,0.01847757557908692,-0.007244845077256002,0.009125198561598071,0.028876018781781636,0.023494252387535892,0.0021832784301751354,-0.005992797937967429,0.000676816533281503,0.005185897115630568,-0.040599408400248636,-0.00402513802973147,0.05820870594974292,0.10696115715424101,0.026155274444530204,-0.013541204414073391,-0.019707822247311695,1.0,0.09135467644820326
V1_Type,0.000673407649912482,0.00922401966941414,0.04146770166333448,0.08117877707854707,0.08114994762692197,0.013926952042211935,-0.005018732268451644,0.01872739925395785,0.03908103379332723,0.030618581769871242,0.01735211965349116,0.02515438505762357,0.0262173939408819,-0.0349745545815471,-0.02061053520381838,0.05104340909008778,0.0015105220131891193,0.015987122617076847,0.09135467644820326,1.0
